[SystemTime { tv_sec: 1783771286, tv_nsec: 165875000 } Pad 1: AxisChanged(LeftStickY, 0.47459164, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 169869000 } Pad 1: AxisChanged(LeftStickY, 0.47661453, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 171870000 } Pad 1: AxisChanged(LeftStickY, 0.47787002, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 173870000 } Pad 1: AxisChanged(LeftStickY, 0.47909066, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 177870000 } Pad 1: AxisChanged(LeftStickY, 0.48027647, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 181871000 } Pad 1: AxisChanged(LeftStickY, 0.48188078, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 183870000 } Pad 1: AxisChanged(LeftStickY, 0.48676345, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 189870000 } Pad 1: AxisChanged(LeftStickY, 0.4881236, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 191878000 } Pad 1: AxisChanged(LeftStickY, 0.48969302, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 195870000 } Pad 1: AxisChanged(LeftStickY, 0.49429667, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 201870000 } Pad 1: AxisChanged(LeftStickY, 0.4960056, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 203870000 } Pad 1: AxisChanged(LeftStickY, 0.4974355, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 205871000 } Pad 1: AxisChanged(LeftStickY, 0.4994932, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 207870000 } Pad 1: AxisChanged(LeftStickY, 0.5053175, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 211870000 } Pad 1: AxisChanged(LeftStickY, 0.5066428, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 213871000 } Pad 1: AxisChanged(LeftStickY, 0.5084912, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 217871000 } Pad 1: AxisChanged(LeftStickY, 0.51054895, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 219870000 } Pad 1: AxisChanged(LeftStickY, 0.515327, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 221871000 } Pad 1: AxisChanged(LeftStickY, 0.51679176, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 223870000 } Pad 1: AxisChanged(LeftStickY, 0.5188843, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 225871000 } Pad 1: AxisChanged(LeftStickY, 0.5233833, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771286, tv_nsec: 227870000 } Pad 1: AxisChanged(LeftStickY, 0.5252318, Code(EvCode(EvCode { kind: 3, code: 1 })))
